,0,1,2
0,DIN001,KPI_Climate_CPD_IP,678285
1,DKI001,KPI_Climate_CPD_IP,138
2,DLK001,KPI_Climate_CPD_IP,40121
3,DDO001,KPI_Climate_CPD_IP,1386
4,DES001,KPI_ClimateHeat_CPD_IP,762043
5,DMM001,KPI_ReachCTP_CPD_IP,33704
6,DIN001,KPI_ReachCTP_CPD_IP,2028998
7,DNA001,KPI_ReachCTP_CPD_IP,6705
8,DFJ001,KPI_ReachCTP_CPD_IP,0
9,DET001,KPI_ReachCTP_CPD_IP,55287
10,DSL001,KPI_ReachCTP_CPD_IP,1093
11,DSG001,KPI_ReachCTP_CPD_IP,1212
12,DSN001,KPI_ReachCTP_CPD_IP,1370
13,DKI001,KPI_ReachCTP_CPD_IP,17
14,DRW001,KPI_ReachCTP_CPD_IP,184961
15,DUZ001,KPI_ReachCTP_CPD_IP,2888
16,DNE001,KPI_ReachCTP_CPD_IP,21220
17,DMR001,KPI_ReachCTP_CPD_IP,21588
18,DGH001,KPI_ReachCTP_CPD_IP,550
19,DVN001,KPI_ReachCTP_CPD_IP,177859
20,DBO001,KPI_ReachCTP_CPD_IP,2748
21,DBS001,KPI_ReachCTP_CPD_IP,3056
22,DCV001,KPI_ReachCTP_CPD_IP,100
23,DUA001,KPI_ReachCTP_CPD_IP,2455
24,DPH001,KPI_ReachCTP_CPD_IP,17505
25,DSI001,KPI_ReachCTP_CPD_IP,2608
26,DFR001,KPI_ReachCTP_CPD_IP,29981
27,DKG001,KPI_ReachCTP_CPD_IP,31435
28,DMW001,KPI_ReachCTP_CPD_IP,4134
29,DLK001,KPI_ReachCTP_CPD_IP,59680
30,DMN001,KPI_ReachCTP_CPD_IP,16101
31,DUY001,KPI_ReachCTP_CPD_IP,828
32,DMM001,KPI_ReachDRER_CPD_IP,1744903
33,DHU001,KPI_ReachDRER_CPD_IP,1092715
34,DIN001,KPI_ReachDRER_CPD_IP,569125
35,DNA001,KPI_ReachDRER_CPD_IP,2425
36,DFJ001,KPI_ReachDRER_CPD_IP,424628
37,DET001,KPI_ReachDRER_CPD_IP,24021477
38,DSL001,KPI_ReachDRER_CPD_IP,25332
39,DHT001,KPI_ReachDRER_CPD_IP,3324
40,DSG001,KPI_ReachDRER_CPD_IP,502056
41,DSN001,KPI_ReachDRER_CPD_IP,4522
42,DTH001,KPI_ReachDRER_CPD_IP,1798464
43,DTV001,KPI_ReachDRER_CPD_IP,1118
44,DVE001,KPI_ReachDRER_CPD_IP,69165
45,DRW001,KPI_ReachDRER_CPD_IP,1942060
46,DCN001,KPI_ReachDRER_CPD_IP,75000000
47,DUZ001,KPI_ReachDRER_CPD_IP,1094879
48,DNE001,KPI_ReachDRER_CPD_IP,4527
49,DLV001,KPI_ReachDRER_CPD_IP,0
50,DES001,KPI_ReachDRER_CPD_IP,159045
51,DMR001,KPI_ReachDRER_CPD_IP,1462500
52,DID001,KPI_ReachDRER_CPD_IP,3659058
53,DGH001,KPI_ReachDRER_CPD_IP,11232
54,DVN001,KPI_ReachDRER_CPD_IP,295085
55,DCK001,KPI_ReachDRER_CPD_IP,4786
56,DBO001,KPI_ReachDRER_CPD_IP,1716
57,DTO001,KPI_ReachDRER_CPD_IP,4597
58,DCV001,KPI_ReachDRER_CPD_IP,131895
59,DCY001,KPI_ReachDRER_CPD_IP,8603
