,0,1,2
0,DSK001,KPI_ReachCTP_CPD_IP,
1,DRS001,KPI_ReachCTP_CPD_IP,929
2,DLC001,KPI_ReachCTP_CPD_IP,
3,DAG001,KPI_ReachCTP_CPD_IP,
4,DJO001,KPI_ReachCTP_CPD_IP,54162
5,DGH001,KPI_ReachCTP_CPD_IP,366
6,DUA001,KPI_ReachCTP_CPD_IP,1822
7,DLR001,KPI_ReachCTP_CPD_IP,99
8,DGM001,KPI_ReachCTP_CPD_IP,5033
9,DGD001,KPI_ReachDRER_CPD_IP,
10,DMR001,KPI_ReachDRER_CPD_IP,976000
11,DRS001,KPI_ReachDRER_CPD_IP,208019
12,DTT001,KPI_ReachDRER_CPD_IP,
13,DLC001,KPI_ReachDRER_CPD_IP,
14,DJO001,KPI_ReachDRER_CPD_IP,41168
15,DGH001,KPI_ReachDRER_CPD_IP,9921
16,DUA001,KPI_ReachDRER_CPD_IP,39755
17,DBH001,KPI_ReachDRER_CPD_IP,10
18,DLR001,KPI_ReachDRER_CPD_IP,6642
19,DGM001,KPI_ReachDRER_CPD_IP,586
20,DHU001,KPI_ReachDRER_CPD_IP,728909
21,DGD001,KPI_ReachDRR_CPD_IP,
22,DMR001,KPI_ReachDRR_CPD_IP,749119
23,DRS001,KPI_ReachDRR_CPD_IP,25173
24,DSA001,KPI_ReachDRR_CPD_IP,
25,DLC001,KPI_ReachDRR_CPD_IP,
26,DVC001,KPI_ReachDRR_CPD_IP,
27,DAG001,KPI_ReachDRR_CPD_IP,
28,DJO001,KPI_ReachDRR_CPD_IP,76
29,DGH001,KPI_ReachDRR_CPD_IP,66573
30,DUA001,KPI_ReachDRR_CPD_IP,18596
31,DBH001,KPI_ReachDRR_CPD_IP,270
32,DLR001,KPI_ReachDRR_CPD_IP,4512
33,DGM001,KPI_ReachDRR_CPD_IP,3127
34,DHU001,KPI_ReachDRR_CPD_IP,2469
35,DTN001,KPI_ReachH_CPD_IP,
36,DGD001,KPI_ReachH_CPD_IP,
37,DMR001,KPI_ReachH_CPD_IP,139332
38,DRS001,KPI_ReachH_CPD_IP,345637
39,DLC001,KPI_ReachH_CPD_IP,
40,DVC001,KPI_ReachH_CPD_IP,
41,DJO001,KPI_ReachH_CPD_IP,77593
42,DGH001,KPI_ReachH_CPD_IP,3481155
43,DUA001,KPI_ReachH_CPD_IP,4097329
44,DLR001,KPI_ReachH_CPD_IP,22853
45,DGM001,KPI_ReachH_CPD_IP,389738
46,DTN001,KPI_ReachL_CPD_IP,
47,DGD001,KPI_ReachL_CPD_IP,
48,DRS001,KPI_ReachL_CPD_IP,237247
49,DTT001,KPI_ReachL_CPD_IP,
50,DLC001,KPI_ReachL_CPD_IP,
